time_iso8601,stars_cumulative
2023-12-18 00:00:00+00:00,61
2024-01-02 00:00:00+00:00,62
2024-01-03 00:00:00+00:00,63
2024-01-04 00:00:00+00:00,64
2024-01-05 00:00:00+00:00,65
2024-01-07 00:00:00+00:00,66
2024-01-10 00:00:00+00:00,67
2024-01-11 00:00:00+00:00,69
2024-01-14 00:00:00+00:00,70
2024-01-18 00:00:00+00:00,72
2024-01-19 00:00:00+00:00,73
2024-02-02 00:00:00+00:00,74
2024-02-04 00:00:00+00:00,75
2024-02-05 00:00:00+00:00,76
2024-02-20 00:00:00+00:00,77
2024-02-24 00:00:00+00:00,78
2024-02-26 00:00:00+00:00,80
2024-03-08 00:00:00+00:00,81
2024-03-09 00:00:00+00:00,82
2024-03-15 00:00:00+00:00,83
2024-03-19 00:00:00+00:00,84
2024-03-20 00:00:00+00:00,86
2024-03-21 00:00:00+00:00,87
2024-03-22 00:00:00+00:00,88
2024-03-24 00:00:00+00:00,89
2024-04-03 00:00:00+00:00,90
2024-04-08 00:00:00+00:00,91
2024-04-13 00:00:00+00:00,93
2024-04-16 00:00:00+00:00,94
2024-04-20 00:00:00+00:00,95
2024-04-21 00:00:00+00:00,96
2024-04-25 00:00:00+00:00,97
2024-05-07 00:00:00+00:00,98
2024-05-09 00:00:00+00:00,99
2024-05-10 00:00:00+00:00,100
2024-05-20 00:00:00+00:00,101
2024-05-23 00:00:00+00:00,102
2024-06-01 00:00:00+00:00,103
2024-06-06 00:00:00+00:00,104
2024-06-11 00:00:00+00:00,105
2024-06-13 00:00:00+00:00,106
2024-06-15 00:00:00+00:00,107
2024-06-20 00:00:00+00:00,108
2024-06-29 00:00:00+00:00,109
2024-07-01 00:00:00+00:00,110
2024-07-09 00:00:00+00:00,111
2024-07-16 00:00:00+00:00,112
2024-07-19 00:00:00+00:00,113
2024-07-23 00:00:00+00:00,114
2024-07-24 00:00:00+00:00,115
2024-07-26 00:00:00+00:00,116
2024-07-30 00:00:00+00:00,117
2024-08-01 00:00:00+00:00,118
2024-08-07 00:00:00+00:00,119
2024-08-23 00:00:00+00:00,120
2024-08-29 00:00:00+00:00,121
2024-09-03 00:00:00+00:00,122
2024-09-13 00:00:00+00:00,123
2024-09-17 00:00:00+00:00,124
2024-09-20 00:00:00+00:00,126
2024-09-23 00:00:00+00:00,127
2024-09-30 00:00:00+00:00,129
2024-10-01 00:00:00+00:00,130
2024-10-17 00:00:00+00:00,131
2024-10-18 00:00:00+00:00,133
2024-10-20 00:00:00+00:00,134
2024-10-23 00:00:00+00:00,136
2024-10-26 00:00:00+00:00,137
2024-11-06 00:00:00+00:00,138
2024-11-16 00:00:00+00:00,139
2024-11-18 00:00:00+00:00,140
2024-11-25 00:00:00+00:00,142
2024-12-05 00:00:00+00:00,143
2024-12-09 00:00:00+00:00,145
2024-12-19 00:00:00+00:00,146
2024-12-22 00:00:00+00:00,147
2024-12-29 00:00:00+00:00,148
2025-01-01 00:00:00+00:00,149
2025-01-04 00:00:00+00:00,150
2025-01-06 00:00:00+00:00,151
2025-01-11 00:00:00+00:00,152
2025-01-13 00:00:00+00:00,153
2025-01-15 00:00:00+00:00,154
2025-01-16 00:00:00+00:00,155
2025-01-23 00:00:00+00:00,156
2025-01-31 00:00:00+00:00,157
2025-02-04 00:00:00+00:00,158
2025-02-10 00:00:00+00:00,159
2025-02-11 00:00:00+00:00,160
2025-02-18 00:00:00+00:00,161
2025-02-24 00:00:00+00:00,162
2025-03-04 00:00:00+00:00,163
2025-03-12 00:00:00+00:00,164
2025-03-13 00:00:00+00:00,165
2025-03-25 00:00:00+00:00,166
2025-04-04 00:00:00+00:00,167
2025-04-09 00:00:00+00:00,168
2025-04-15 00:00:00+00:00,169
2025-04-26 00:00:00+00:00,170
2025-04-30 00:00:00+00:00,171
2025-05-02 00:00:00+00:00,172
2025-05-12 00:00:00+00:00,173
2025-05-26 00:00:00+00:00,174
2025-05-31 00:00:00+00:00,175
2025-06-04 00:00:00+00:00,176
2025-06-12 00:00:00+00:00,177
2025-06-13 00:00:00+00:00,178
2025-06-18 00:00:00+00:00,179
2025-06-19 00:00:00+00:00,180
2025-07-04 00:00:00+00:00,181
2025-07-14 00:00:00+00:00,183
2025-07-16 00:00:00+00:00,184
2025-07-25 00:00:00+00:00,185
2025-08-06 00:00:00+00:00,186
2025-08-28 00:00:00+00:00,187
2025-08-30 00:00:00+00:00,188
2025-08-31 00:00:00+00:00,189
2025-10-07 00:00:00+00:00,190
2025-10-09 00:00:00+00:00,191
2025-10-11 00:00:00+00:00,192
2025-10-20 00:00:00+00:00,193
2025-11-08 00:00:00+00:00,194
2025-12-01 00:00:00+00:00,195
2025-12-10 00:00:00+00:00,196
2025-12-18 00:00:00+00:00,197
2026-01-13 00:00:00+00:00,198
2026-02-08 00:00:00+00:00,199
2026-02-09 00:00:00+00:00,201
2026-02-11 00:00:00+00:00,202
2026-02-12 00:00:00+00:00,203
2026-03-01 00:00:00+00:00,204
2026-03-05 00:00:00+00:00,205
2026-03-10 00:00:00+00:00,206
2026-03-19 00:00:00+00:00,207
2026-03-22 00:00:00+00:00,209
2026-04-02 00:00:00+00:00,210
2026-05-14 00:00:00+00:00,212
2026-05-25 00:00:00+00:00,213
2026-05-26 00:00:00+00:00,214
